Ts,t,Q released,Weight loss,Q  Base line,W  Base line,Q corrected,Weight loss corrected,Q acumulated,Remaining Weight,,T (oC),Column,Row,Weight [%],Column,Row,,Sample,"Total OM loss
[%]","Total Q released
[J g-1]","Q' 
[J mg-1 OM]","Q50
[J g-1]","T50Q
[oC]","Q1
[%]","Q2
[%]","Q3
[%]","T1Q 
[oC]","T2Q 
[oC]","T3Q 
[oC]","W50
[%]","T50W
[oC]","W1
(%)","W2
(%)","W3
(%)","T1W 
[oC]","T2W 
[oC]","T3W 
[oC]"
[oC],[s],[W g-1],[% OM loss oC-1],[W g-1],[% OM loss oC-1],[W g-1],[mg OM g-1 sample oC-1],[J g-1],[%],,150,J,601,96.1,G,601,,SIA2,5.9,3200,53861,1600,372,51.5,40.1,8.4,342.3,385.7,501.9,3.0,384,2.8,1.9,1.3,325.3,379.6,475.1
5.18E+01,0.00E+00,-3.55E-01,0.00E+00,-3.55E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,375,J,1906,93.3,G,1907,,,,,,,,,,,,,,,,,,,,,
5.18E+01,1.00E+00,-3.71E-01,0.00E+00,-3.71E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,475,J,2513,91.4,G,2514,,,,,,,,,,,,,,,,,,,,,
5.18E+01,2.00E+00,-3.72E-01,0.00E+00,-3.72E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,600,J,3262,90.1,G,3262,,,,,,,,,,,,,,,,,,,,,
5.19E+01,3.00E+00,-3.70E-01,0.00E+00,-3.70E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,,H,Total OM loss [%],5.9,,,,,,,,,,,,,,,,,,,,,,,
5.19E+01,4.00E+00,-3.70E-01,0.00E+00,-3.70E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,,,W50 [%],3.0,,,,,,,,,,,,,,,,,,,,,,,
5.20E+01,5.00E+00,-3.71E-01,0.00E+00,-3.71E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,,,W50 [%] Relative,93.1,,,,,,,,,,,,,,,,,,,,,,,
5.21E+01,6.00E+00,-3.72E-01,0.00E+00,-3.72E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.22E+01,7.00E+00,-3.73E-01,0.00E+00,-3.73E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.23E+01,8.00E+00,-3.78E-01,0.00E+00,-3.78E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
