Ts,t,Q released,Weight loss,Q  Base line,W  Base line,Q corrected,Weight loss corrected,Q acumulated,Remaining Weight,,T (oC),Column,Row,Weight [%],Column,Row,,Sample,"Total OM loss
[%]","Total Q released
[J g-1]","Q' 
[J mg-1 OM]","Q50
[J g-1]","T50Q
[oC]","Q1
[%]","Q2
[%]","Q3
[%]","T1Q 
[oC]","T2Q 
[oC]","T3Q 
[oC]","W50
[%]","T50W
[oC]","W1
(%)","W2
(%)","W3
(%)","T1W 
[oC]","T2W 
[oC]","T3W 
[oC]"
[oC],[s],[W g-1],[% OM loss oC-1],[W g-1],[% OM loss oC-1],[W g-1],[mg OM g-1 sample oC-1],[J g-1],[%],,150,J,600,96.1,G,600,,SIA2,5.9,777,13073,389,348,67.8,31.9,0.3,335.8,375.1,475.1,3.0,382,2.8,1.8,1.3,300.4,375.1,475.1
5.22E+01,0.00E+00,-2.61E-01,0.00E+00,-2.61E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,375,J,1919,93.2,G,1920,,,,,,,,,,,,,,,,,,,,,
5.21E+01,1.00E+00,-2.72E-01,0.00E+00,-2.72E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,475,J,2517,91.4,G,2518,,,,,,,,,,,,,,,,,,,,,
5.21E+01,2.00E+00,-2.71E-01,0.00E+00,-2.71E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,600,J,3263,90.1,G,3263,,,,,,,,,,,,,,,,,,,,,
5.22E+01,3.00E+00,-2.71E-01,0.00E+00,-2.71E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,,H,Total OM loss [%],5.9,,,,,,,,,,,,,,,,,,,,,,,
5.22E+01,4.00E+00,-2.72E-01,0.00E+00,-2.72E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,,,W50 [%],3.0,,,,,,,,,,,,,,,,,,,,,,,
5.23E+01,5.00E+00,-2.74E-01,0.00E+00,-2.74E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,,,W50 [%] Relative,93.1,,,,,,,,,,,,,,,,,,,,,,,
5.24E+01,6.00E+00,-2.75E-01,0.00E+00,-2.75E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.25E+01,7.00E+00,-2.77E-01,0.00E+00,-2.77E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.26E+01,8.00E+00,-2.79E-01,0.00E+00,-2.79E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.27E+01,9.00E+00,-2.81E-01,0.00E+00,-2.81E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,Q'= Q/OM [J mg OM-1],Q corrected,Q corrected abs,Q50,Groups of resistance to thermal oxidation,,,,,,,,,,,,,,,,,,,,,,
5.29E+01,1.00E+01,-2.83E-01,0.00E+00,-2.83E-01,0.00E+00,0.0000,0.0000,0.00,9.91E+01,,,,,,,oC,,,,,,,,,,,,,,,,,,,,,
5.30E+01,1.10E+01,-2.84E-01,0.00E+00,-2.84E-01,0.00E+00,0.0000,0.0000,0.00,9.91E+01,,13073.2,777,777,388.5,Q total,150-600,,,,,,,,,,,,,,,,,,,,,
5.31E+01,1.20E+01,-2.86E-01,0.00E+00,-2.86E-01,0.00E+00,0.0000,0.0000,0.00,9.91E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.32E+01,1.30E+01,-2.87E-01,0.00E+00,-2.87E-01,0.00E+00,0.0000,0.0000,0.00,9.91E+01,,,527,527,,Q1,150-375,,,,,,,,,,,,,,,,,,,,,
5.34E+01,1.40E+01,-2.89E-01,0.00E+00,-2.89E-01,0.00E+00,0.0000,0.0000,0.00,9.91E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.35E+01,1.50E+01,-2.90E-01,0.00E+00,-2.90E-01,0.00E+00,0.0000,0.0000,0.00,9.91E+01,,,248,248,,Q2,375-475,,,,,,,,,,,,,,,,,,,,,
5.36E+01,1.60E+01,-2.91E-01,0.00E+00,-2.91E-01,0.00E+00,0.0000,0.0000,0.00,9.91E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.38E+01,1.70E+01,-2.93E-01,0.00E+00,-2.93E-01,0.00E+00,0.0000,0.0000,0.00,9.91E+01,,,2,2,,Q3,475-600,,,,,,,,,,,,,,,,,,,,,
5.39E+01,1.80E+01,-2.94E-01,0.00E+00,-2.94E-01,0.00E+00,0.0000,0.0000,0.00,9.91E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.41E+01,1.90E+01,-2.95E-01,0.00E+00,-2.95E-01,0.00E+00,0.0000,0.0000,0.00,9.91E+01,,,777,777,,Q1+Q2+Q3,150-580,,,,,,,,,,,,,,,,,,,,,
5.42E+01,2.00E+01,-2.96E-01,0.00E+00,-2.96E-01,0.00E+00,0.0000,0.0000,0.00,9.91E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
