Ts,t,Q released,Weight loss,Q  Base line,W  Base line,Q corrected,Weight loss corrected,Q acumulated,Remaining Weight,,T (oC),Column,Row,Weight [%],Column,Row,,Sample,"Total OM loss
[%]","Total Q released
[J g-1]","Q' 
[J mg-1 OM]","Q50
[J g-1]","T50Q
[oC]","Q1
[%]","Q2
[%]","Q3
[%]","T1Q 
[oC]","T2Q 
[oC]","T3Q 
[oC]","W50
[%]","T50W
[oC]","W1
(%)","W2
(%)","W3
(%)","T1W 
[oC]","T2W 
[oC]","T3W 
[oC]"
[oC],[s],[W g-1],[% OM loss oC-1],[W g-1],[% OM loss oC-1],[W g-1],[mg OM g-1 sample oC-1],[J g-1],[%],,150,J,599,96.1,G,599,,SIA2,5.9,579,9738,290,341,75.0,24.8,0.2,333.1,375.1,475.1,3.0,382,2.8,1.8,1.3,311.7,375.1,475.1
5.21E+01,0.00E+00,-2.02E-01,0.00E+00,-2.02E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,375,J,1920,93.2,G,1921,,,,,,,,,,,,,,,,,,,,,
5.21E+01,1.00E+00,-2.12E-01,0.00E+00,-2.12E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,475,J,2518,91.4,G,2519,,,,,,,,,,,,,,,,,,,,,
5.21E+01,2.00E+00,-2.11E-01,0.00E+00,-2.11E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,600,J,3263,90.1,G,3263,,,,,,,,,,,,,,,,,,,,,
5.21E+01,3.00E+00,-2.12E-01,0.00E+00,-2.12E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,,H,Total OM loss [%],5.9,,,,,,,,,,,,,,,,,,,,,,,
5.22E+01,4.00E+00,-2.13E-01,0.00E+00,-2.13E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,,,W50 [%],3.0,,,,,,,,,,,,,,,,,,,,,,,
5.23E+01,5.00E+00,-2.14E-01,0.00E+00,-2.14E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,,,W50 [%] Relative,93.1,,,,,,,,,,,,,,,,,,,,,,,
5.24E+01,6.00E+00,-2.15E-01,0.00E+00,-2.15E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.25E+01,7.00E+00,-2.16E-01,0.00E+00,-2.16E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.26E+01,8.00E+00,-2.18E-01,0.00E+00,-2.18E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
